Complaint,Average_Days,Total_Number_Complaints,Cex,Col
BedBugs,105,518,3,#e34a33
BlockedExits,146,24,2,#e34a33
BlueBinRequest,8,1,1,#e34a33
BuildingPermit,111,262,3,#fee8c8
BulkHouseholdItems,10,1,1,#fdbb84
CertofUseBar,150,91,2,#e34a33
CertofUseFoodStore,130,213,3,#e34a33
CertofUseRestaurant,142,123,3,#e34a33
CleanUpRqstPublicProp,106,8,1,#fdbb84
ComplaintReqstGeneral,73,2357,4,#fee8c8
ConstDemoDebris,73,2,1,#e34a33
CornersNeedSnowRemoval,5,1,1,#e34a33
Demolition,110,126,3,#e34a33
ElectricalHazard,318,5,1,#fdbb84
FaultyEquipment,114,41,2,#fee8c8
FireAlarm,189,518,3,#fdbb84
FireSafety,129,516,3,#fdbb84
GraffitiPrivateProperty,143,19,2,#fdbb84
GraffitiPublicProperty,312,1,1,#fdbb84
Heating,11,38,2,#fdbb84
IllegalTrashSetOut,64,1866,4,#fdbb84
Infestation,108,332,3,#e34a33
MedicalWasteRefused,6,2,1,#fdbb84
NoSmokeDetectors,61,5,1,#e34a33
Other,259,20,2,#fee8c8
OutdoorIllegalBurning,310,4,1,#e34a33
OverCapacityAssembly,92,1,1,#fdbb84
OverCapacityTooManyPpl,144,6,1,#fdbb84
OvergrownVegPublic,9,2,1,#fdbb84
OvergrowthPrivateOcc,102,1946,4,#e34a33
PreventativeCodeEnforce,7,2,1,#fee8c8
PropertyMaintenanceExt,114,6048,4,#fee8c8
PropertyMaintenanceInt,116,14586,5,#fee8c8
RepairCreekFencing,27,1,1,#e34a33
SanitationSpecialReqst,28,8,1,#fdbb84
SewerBackUp,70,19,2,#e34a33
SprinklerSystem,96,38,2,#fdbb84
StructuralIssues,220,11,2,#fee8c8
SuppressionNotSprinkler,361,9,1,#fdbb84
TenantSafetyConcerns,15,11,2,#fee8c8
TrashDebrisPrivateOcc,95,2141,4,#e34a33
TreeInspectProblemReq,4,1,1,#fdbb84
TreeLimbStumpRemoval,5,1,1,#fdbb84
UnsafeConditions,124,144,3,#fee8c8
VacantHouseOpenToEntry,83,10,2,#e34a33
VacantLotOvergrown,36,59,2,#e34a33
VacantLotTrashDebris,19,1,1,#e34a33
VacantStructureHazard,29,2,1,#fee8c8
VacantIllegalOccupancy,378,1,1,#e34a33
WaterShopAllComplaints,14,21,2,#fdbb84
YardWaste,26,3,1,#fdbb84
ZoningViolations,114,74,2,#fee8c8
