BedBugs,BlockedExits,BlueBinRequest,BuildingPermit,BulkHouseholdItems,CertofUseBar,CertofUseFoodStore,CertofUseRestaurant,CleanUpRqstPublicProp,ComplaintReqstGeneral,ConstDemoDebris,CornersNeedSnowRemoval,Demolition,ElectricalHazard,FaultyEquipment,FireAlarm,FireSafety,GraffitiPrivateProperty,GraffitiPublicProperty,Heating,IllegalTrashSetOut,Infestation,MedicalWasteRefused,NoSmokeDetectors,Other,OutdoorIllegalBurning,OverCapacity,OvergrownVegPublic,OvergrowthPrivateOcc,PreventativeCodeEnforce,ExteriorPropertyMaintenance,InteriorPropertyMaintenance,RepairCreekFencing,SanitationSpecialReqst,SewerBackUp,SprinklerSystem,StructuralIssues,SuppressionNotSprinkler,TenantSafetyConcerns,TrashDebrisPrivateOcc,TreeInspectProblemReq,TreeLimbStumpRemoval,UnsafeConditions,VacantHouseOpentoEntry,VacantLotOvergrown,VacantLotTrashDebris,VacantStructureHazard,VacantIllegalOccupancy,WaterShopAllComplaints,YardWaste,ZoningViolations,AllComplaints
2,229,8,8,10,15,80,210,12,6,30,5,53,223,243,11,7,112,312,8,2,19,6,27,36,8,92,5,7,8,26,2,27,46,6,16,45,698,16,124,4,5,30,4,9,19,29,378,11,13,4,2
11,229,,11,,15,8,210,134,15,116,,130,228,236,11,7,281,,7,2,10,5,27,6,8,49,12,21,5,3,3,,46,7,25,17,698,6,2,,,30,17,6,,29,,4,36,6,11
6,143,,6,,8,70,22,134,2,,,130,224,236,36,43,351,,6,3,4,,21,7,698,203,,22,,5,3,,46,6,29,320,698,7,2,,,30,175,7,,,,4,30,25,6
6,37,,5,,8,13,22,134,2,,,122,522,237,12,43,136,,6,3,4,,116,130,527,203,,19,,4,3,,57,6,13,418,698,7,38,,,71,50,4,,,,3,,6,6
6,37,,36,,61,52,18,134,3,,,6,395,194,349,43,28,,6,3,4,,116,19,,194,,12,,5,2,,5,7,13,232,24,7,28,,,71,50,25,,,,3,,7,6
21,74,,32,,24,52,288,134,12,,,5,,165,349,36,73,,2,2,4,,,3,,190,,11,,5,1,,5,67,6,232,11,13,8,,,71,243,26,,,,5,,9,21
6,74,,32,,26,52,288,42,4,,,57,,165,349,30,59,,2,2,4,,,7,,26,,8,,5,3,,9,67,5,192,41,13,8,,,87,243,5,,,,9,,24,6
8,74,,21,,6,40,228,121,4,,,57,,165,26,30,7,,20,4,5,,,17,,,,4,,3,4,,9,67,11,167,41,7,5,,,87,26,5,,,,9,,63,8
5,43,,21,,172,40,16,,5,,,101,,165,26,28,248,,20,4,51,,,11,,,,65,,9,4,,,104,125,10,343,7,13,,,87,11,5,,,,14,,8,5
6,43,,92,,172,126,16,,4,,,101,,165,26,28,195,,20,2,6,,,27,,,,17,,6,3,,,288,60,9,,9,2,,,52,11,6,,,,8,,7,6
6,82,,92,,172,118,32,,4,,,251,,156,13,28,40,,20,8,6,,,26,,,,16,,6,3,,,22,23,780,,72,4,,,60,,4,,,,8,,18,6
8,82,,92,,172,100,14,,3,,,251,,156,73,28,9,,20,8,6,,,43,,,,5,,7,7,,,118,15,,,,5,,,60,,4,,,,8,,58,8
21,74,,92,,172,100,237,,8,,,12,,31,73,28,60,,6,7,4,,,43,,,,4,,6,7,,,118,40,,,,5,,,21,,4,,,,4,,6,21
5,59,,15,,172,43,15,,8,,,12,,31,66,28,6,,5,7,4,,,302,,,,33,,10,5,,,86,38,,,,8,,,190,,19,,,,3,,6,5
22,54,,105,,80,33,6,,8,,,189,,31,341,31,228,,6,5,4,,,889,,,,33,,10,5,,,86,160,,,,1,,,190,,6,,,,3,,130,22
30,54,,9,,80,33,254,,8,,,139,,31,62,31,37,,6,13,7,,,889,,,,6,,6,6,,,86,160,,,,3,,,89,,6,,,,4,,99,30
13,54,,9,,87,16,254,,7,,,139,,24,75,31,714,,8,2,7,,,680,,,,4,,5,5,,,86,66,,,,3,,,536,,7,,,,44,,101,13
4,47,,28,,2,15,254,,7,,,139,,24,43,31,95,,4,2,7,,,680,,,,4,,12,5,,,52,33,,,,5,,,154,,14,,,,44,,101,4
3,33,,20,,408,15,254,,4,,,41,,27,235,31,34,,5,17,7,,,680,,,,14,,8,5,,,45,31,,,,4,,,154,,7,,,,37,,7,3
3,28,,20,,408,15,16,,8,,,16,,27,440,26,,,5,4,6,,,680,,,,7,,5,5,,,,259,,,,5,,,28,,8,,,,37,,237,3
80,226,,8,,408,61,3,,8,,,16,,21,386,18,,,5,17,6,,,,,,,7,,9,5,,,,60,,,,7,,,23,,6,,,,37,,15,80
7,226,,7,,538,61,119,,8,,,16,,24,386,18,,,5,16,6,,,,,,,7,,6,6,,,,60,,,,5,,,23,,6,,,,,,18,7
6,755,,7,,538,61,113,,7,,,16,,24,386,18,,,5,16,6,,,,,,,7,,6,5,,,,60,,,,7,,,31,,5,,,,,,244,6
6,738,,6,,538,36,98,,13,,,9,,10,386,410,,,5,16,21,,,,,,,7,,6,5,,,,60,,,,7,,,31,,9,,,,,,25,6
105,,,6,,538,36,73,,13,,,14,,584,21,410,,,9,11,15,,,,,,,7,,19,5,,,,18,,,,5,,,14,,9,,,,,,4,105
49,,,30,,315,36,76,,11,,,145,,584,21,410,,,7,29,21,,,,,,,3,,16,5,,,,18,,,,8,,,9,,20,,,,,,21,49
